"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3531,1980,9,1,28.9,18.3,3.9,3.7
"2",3532,1980,9,2,25.5,19.8,0.5,2.2
"3",3533,1980,9,3,28.5,17.8,3.5,4.2
"4",3534,1980,9,4,28.1,16.9,3.1,5.1
"5",3535,1980,9,5,25.2,17.9,0.199999999999999,4.1
"6",3536,1980,9,6,25.1,16.2,0.100000000000001,5.8
"7",3537,1980,9,7,27.2,15.5,2.2,6.5
"8",3538,1980,9,8,26.2,11.8,1.2,10.2
"9",3539,1980,9,9,25.6,14.5,0.600000000000001,7.5
"10",3540,1980,9,10,19.9,14.7,2.1,7.3
"11",3541,1980,9,11,22.9,14.2,0,7.8
"12",3542,1980,9,12,25,13.1,0,8.9
"13",3543,1980,9,13,25.8,13.4,0.800000000000001,8.6
"14",3544,1980,9,14,27,11.5,2,10.5
"15",3545,1980,9,15,28.2,11.5,3.2,10.5
"16",3546,1980,9,16,23.5,13.8,0,8.2
"17",3547,1980,9,17,23.6,10,0,12
"18",3548,1980,9,18,24.3,8.5,0,13.5
"19",3549,1980,9,19,23.8,12.6,0,9.4
"20",3550,1980,9,20,25.7,10.2,0.699999999999999,11.8
"21",3551,1980,9,21,24,14.1,0,7.9
"22",3552,1980,9,22,17.6,7.6,4.4,14.4
"23",3553,1980,9,23,20.4,4.1,1.6,17.9
"24",3554,1980,9,24,23.5,6.4,0,15.6
"25",3555,1980,9,25,24.5,6.8,0,15.2
"26",3556,1980,9,26,25.8,7.9,0.800000000000001,14.1
"27",3557,1980,9,27,25.3,9.5,0.300000000000001,12.5
"28",3558,1980,9,28,25.3,9.5,0.300000000000001,12.5
"29",3559,1980,9,29,21.8,7.8,0.199999999999999,14.2
"30",3560,1980,9,30,22.1,6.6,0,15.4
"31",3561,1980,10,1,23.4,5.6,0,16.4
"32",3562,1980,10,2,23.7,5.8,0,16.2
"33",3563,1980,10,3,24.7,6,0,16
"34",3564,1980,10,4,25.5,8.9,0.5,13.1
"35",3565,1980,10,5,16,11.7,6,10.3
"36",3566,1980,10,6,18.8,11.3,3.2,10.7
"37",3567,1980,10,7,24,8.6,0,13.4
"38",3568,1980,10,8,19.2,7.5,2.8,14.5
"39",3569,1980,10,9,21.5,4.4,0.5,17.6
"40",3570,1980,10,10,16.6,12.3,5.4,9.7
"41",3571,1980,10,11,23.2,12,0,10
"42",3572,1980,10,12,22.9,11.4,0,10.6
"43",3573,1980,10,13,22,12.6,0,9.4
"44",3574,1980,10,14,18.2,6.3,3.8,15.7
"45",3575,1980,10,15,20.3,3.7,1.7,18.3
"46",3576,1980,10,16,18.8,6.4,3.2,15.6
"47",3577,1980,10,17,22.3,6.8,0,15.2
"48",3578,1980,10,18,17.2,8.1,4.8,13.9
"49",3579,1980,10,19,20.8,3.2,1.2,18.8
"50",3580,1980,10,20,21.5,8,0.5,14
"51",3581,1980,10,21,12,2.5,10,19.5
"52",3582,1980,10,22,12.6,-2.6,9.4,24.6
"53",3583,1980,10,23,16.9,-2.5,5.1,24.5
"54",3584,1980,10,24,16,2.6,6,19.4
"55",3585,1980,10,25,13.2,-0.3,8.8,22.3
"56",3586,1980,10,26,7,-0.4,15,22.4
"57",3587,1980,10,27,11.1,2.4,10.9,19.6
"58",3588,1980,10,28,11.7,-1.9,10.3,23.9
"59",3589,1980,10,29,14.5,-2.4,7.5,24.4
"60",3590,1980,10,30,15.3,-1.7,6.7,23.7
"61",3591,1980,10,31,9.3,-1,12.7,23
"62",3896,1981,9,1,24.2,18.1,0,3.9
"63",3897,1981,9,2,25,18.8,0,3.2
"64",3898,1981,9,3,21.9,17.1,0.100000000000001,4.9
"65",3899,1981,9,4,25.2,14.5,0.199999999999999,7.5
"66",3900,1981,9,5,27.2,13.5,2.2,8.5
"67",3901,1981,9,6,28,14.2,3,7.8
"68",3902,1981,9,7,27.9,14.1,2.9,7.9
"69",3903,1981,9,8,27,16.5,2,5.5
"70",3904,1981,9,9,23.8,15.5,0,6.5
"71",3905,1981,9,10,26.5,13.9,1.5,8.1
"72",3906,1981,9,11,24.6,13.7,0,8.3
"73",3907,1981,9,12,22.4,12.1,0,9.9
"74",3908,1981,9,13,23.3,8.5,0,13.5
"75",3909,1981,9,14,21.4,7.2,0.600000000000001,14.8
"76",3910,1981,9,15,23.6,6.8,0,15.2
"77",3911,1981,9,16,23.9,7.9,0,14.1
"78",3912,1981,9,17,26.3,9.6,1.3,12.4
"79",3913,1981,9,18,26.4,14.5,1.4,7.5
"80",3914,1981,9,19,26.8,14.4,1.8,7.6
"81",3915,1981,9,20,28,12.9,3,9.1
"82",3916,1981,9,21,28.6,14.3,3.6,7.7
"83",3917,1981,9,22,29.4,13,4.4,9
"84",3918,1981,9,23,30.2,13.3,5.2,8.7
"85",3919,1981,9,24,19.7,16.5,2.3,5.5
"86",3920,1981,9,25,22,14.9,0,7.1
"87",3921,1981,9,26,25.8,10.1,0.800000000000001,11.9
"88",3922,1981,9,27,27.1,10.8,2.1,11.2
"89",3923,1981,9,28,22.9,11.4,0,10.6
"90",3924,1981,9,29,22,12.3,0,9.7
"91",3925,1981,9,30,20.3,13.4,1.7,8.6
"92",3926,1981,10,1,23,11.3,0,10.7
"93",3927,1981,10,2,20.6,8.9,1.4,13.1
"94",3928,1981,10,3,23.1,6,0,16
"95",3929,1981,10,4,18.7,9,3.3,13
"96",3930,1981,10,5,21.8,12.3,0.199999999999999,9.7
"97",3931,1981,10,6,21.7,10.7,0.300000000000001,11.3
"98",3932,1981,10,7,21.9,9.7,0.100000000000001,12.3
"99",3933,1981,10,8,20.2,11.6,1.8,10.4
"100",3934,1981,10,9,16.6,8.5,5.4,13.5
"101",3935,1981,10,10,21.2,5.8,0.800000000000001,16.2
"102",3936,1981,10,11,21.7,5.6,0.300000000000001,16.4
"103",3937,1981,10,12,22.2,5.9,0,16.1
"104",3938,1981,10,13,19.6,9,2.4,13
"105",3939,1981,10,14,15.5,3.4,6.5,18.6
"106",3940,1981,10,15,20,3,2,19
"107",3941,1981,10,16,22.2,6.1,0,15.9
"108",3942,1981,10,17,23.2,7.2,0,14.8
"109",3943,1981,10,18,18.9,9.7,3.1,12.3
"110",3944,1981,10,19,18.2,7.7,3.8,14.3
"111",3945,1981,10,20,19.6,7.5,2.4,14.5
"112",3946,1981,10,21,22,5.9,0,16.1
"113",3947,1981,10,22,14.4,5.1,7.6,16.9
"114",3948,1981,10,23,6,-0.5,16,22.5
"115",3949,1981,10,24,10.7,4.2,11.3,17.8
"116",3950,1981,10,25,13.8,1.5,8.2,20.5
"117",3951,1981,10,26,14.9,1.3,7.1,20.7
"118",3952,1981,10,27,17.1,1.1,4.9,20.9
"119",3953,1981,10,28,12.4,5.8,9.6,16.2
"120",3954,1981,10,29,15.2,3.5,6.8,18.5
"121",3955,1981,10,30,19.2,2.5,2.8,19.5
"122",3956,1981,10,31,13.8,1.2,8.2,20.8
"123",4261,1982,9,1,30.1,16.2,5.1,5.8
"124",4262,1982,9,2,28.8,18,3.8,4
"125",4263,1982,9,3,27.9,17.8,2.9,4.2
"126",4264,1982,9,4,23.4,13.9,0,8.1
"127",4265,1982,9,5,23.1,13.8,0,8.2
"128",4266,1982,9,6,28,16.1,3,5.9
"129",4267,1982,9,7,26.4,12.1,1.4,9.9
"130",4268,1982,9,8,26.4,14.5,1.4,7.5
"131",4269,1982,9,9,25.2,15.6,0.199999999999999,6.4
"132",4270,1982,9,10,25.8,13.3,0.800000000000001,8.7
"133",4271,1982,9,11,24.2,9.2,0,12.8
"134",4272,1982,9,12,25.8,7.7,0.800000000000001,14.3
"135",4273,1982,9,13,27.5,10.3,2.5,11.7
"136",4274,1982,9,14,27.2,10.1,2.2,11.9
"137",4275,1982,9,15,27.8,15.9,2.8,6.1
"138",4276,1982,9,16,28,13.4,3,8.6
"139",4277,1982,9,17,28,14,3,8
"140",4278,1982,9,18,25.2,15,0.199999999999999,7
"141",4279,1982,9,19,26.4,16.7,1.4,5.3
"142",4280,1982,9,20,26.8,15.1,1.8,6.9
"143",4281,1982,9,21,21.7,10.3,0.300000000000001,11.7
"144",4282,1982,9,22,25.8,6.9,0.800000000000001,15.1
"145",4283,1982,9,23,25.6,11.5,0.600000000000001,10.5
"146",4284,1982,9,24,25.7,8,0.699999999999999,14
"147",4285,1982,9,25,25.8,9.6,0.800000000000001,12.4
"148",4286,1982,9,26,27.1,7.9,2.1,14.1
"149",4287,1982,9,27,21.3,10.4,0.699999999999999,11.6
"150",4288,1982,9,28,22.4,8.5,0,13.5
"151",4289,1982,9,29,23.8,8.9,0,13.1
"152",4290,1982,9,30,24,11.9,0,10.1
"153",4291,1982,10,1,26.5,9.7,1.5,12.3
"154",4292,1982,10,2,21.6,13.6,0.399999999999999,8.4
"155",4293,1982,10,3,25.3,10.3,0.300000000000001,11.7
"156",4294,1982,10,4,25.2,10.4,0.199999999999999,11.6
"157",4295,1982,10,5,26.1,9.6,1.1,12.4
"158",4296,1982,10,6,25.8,9,0.800000000000001,13
"159",4297,1982,10,7,25.8,6.7,0.800000000000001,15.3
"160",4298,1982,10,8,26.8,8.5,1.8,13.5
"161",4299,1982,10,9,24.7,6.8,0,15.2
"162",4300,1982,10,10,25.8,7.6,0.800000000000001,14.4
"163",4301,1982,10,11,25.6,9,0.600000000000001,13
"164",4302,1982,10,12,25.6,9.3,0.600000000000001,12.7
"165",4303,1982,10,13,26.8,9.3,1.8,12.7
"166",4304,1982,10,14,25.5,6.8,0.5,15.2
"167",4305,1982,10,15,23,12.3,0,9.7
"168",4306,1982,10,16,23,7.8,0,14.2
"169",4307,1982,10,17,22,12,0,10
"170",4308,1982,10,18,25.2,10.9,0.199999999999999,11.1
"171",4309,1982,10,19,17.9,10.6,4.1,11.4
"172",4310,1982,10,20,18.6,7.4,3.4,14.6
"173",4311,1982,10,21,20.7,6.7,1.3,15.3
"174",4312,1982,10,22,21.4,3.2,0.600000000000001,18.8
"175",4313,1982,10,23,10.7,3.4,11.3,18.6
"176",4314,1982,10,24,7.8,0.9,14.2,21.1
"177",4315,1982,10,25,11.7,-3.7,10.3,25.7
"178",4316,1982,10,26,18.4,2.7,3.6,19.3
"179",4317,1982,10,27,19.3,3.8,2.7,18.2
"180",4318,1982,10,28,20.7,6.1,1.3,15.9
"181",4319,1982,10,29,23.4,5.5,0,16.5
"182",4320,1982,10,30,24,7.4,0,14.6
"183",4321,1982,10,31,14.3,10.3,7.7,11.7
"184",4626,1983,9,1,32.1,20.7,7.1,1.3
"185",4627,1983,9,2,29.7,22.4,4.7,0
"186",4628,1983,9,3,28,20.6,3,1.4
"187",4629,1983,9,4,23.5,19.6,0,2.4
"188",4630,1983,9,5,26.4,18.4,1.4,3.6
"189",4631,1983,9,6,29,18.1,4,3.9
"190",4632,1983,9,7,28.1,15.8,3.1,6.2
"191",4633,1983,9,8,28.3,15.2,3.3,6.8
"192",4634,1983,9,9,21,17.3,1,4.7
"193",4635,1983,9,10,24.8,17.9,0,4.1
"194",4636,1983,9,11,23.5,18.9,0,3.1
"195",4637,1983,9,12,27.6,18,2.6,4
"196",4638,1983,9,13,26.8,15.7,1.8,6.3
"197",4639,1983,9,14,26.7,17.8,1.7,4.2
"198",4640,1983,9,15,27,15.3,2,6.7
"199",4641,1983,9,16,28.8,14,3.8,8
"200",4642,1983,9,17,28.2,15,3.2,7
"201",4643,1983,9,18,27.8,14.9,2.8,7.1
"202",4644,1983,9,19,29.7,14.1,4.7,7.9
"203",4645,1983,9,20,29.4,17.2,4.4,4.8
"204",4646,1983,9,21,23.7,17.7,0,4.3
"205",4647,1983,9,22,27.7,15.2,2.7,6.8
"206",4648,1983,9,23,23.8,17.5,0,4.5
"207",4649,1983,9,24,26.8,18.6,1.8,3.4
"208",4650,1983,9,25,26.9,13.7,1.9,8.3
"209",4651,1983,9,26,26.7,13.9,1.7,8.1
"210",4652,1983,9,27,24.2,14,0,8
"211",4653,1983,9,28,23.5,13.5,0,8.5
"212",4654,1983,9,29,21.5,10.5,0.5,11.5
"213",4655,1983,9,30,24.4,9.3,0,12.7
"214",4656,1983,10,1,26.7,10.3,1.7,11.7
"215",4657,1983,10,2,26.4,11.4,1.4,10.6
"216",4658,1983,10,3,25.9,14,0.899999999999999,8
"217",4659,1983,10,4,24,14.8,0,7.2
"218",4660,1983,10,5,19.8,9.2,2.2,12.8
"219",4661,1983,10,6,19.7,3.3,2.3,18.7
"220",4662,1983,10,7,19.9,5.9,2.1,16.1
"221",4663,1983,10,8,16.2,10.3,5.8,11.7
"222",4664,1983,10,9,20.4,12.1,1.6,9.9
"223",4665,1983,10,10,23.1,7.8,0,14.2
"224",4666,1983,10,11,19.2,12.9,2.8,9.1
"225",4667,1983,10,12,22,12.7,0,9.3
"226",4668,1983,10,13,15.6,9.9,6.4,12.1
"227",4669,1983,10,14,21.3,7.6,0.699999999999999,14.4
"228",4670,1983,10,15,22.5,9.9,0,12.1
"229",4671,1983,10,16,21,8.1,1,13.9
"230",4672,1983,10,17,20.8,11.2,1.2,10.8
"231",4673,1983,10,18,20.4,11.4,1.6,10.6
"232",4674,1983,10,19,19.4,11.9,2.6,10.1
"233",4675,1983,10,20,20.6,9.2,1.4,12.8
"234",4676,1983,10,21,19,7,3,15
"235",4677,1983,10,22,18.4,6.4,3.6,15.6
"236",4678,1983,10,23,11.5,2.1,10.5,19.9
"237",4679,1983,10,24,11.1,-2.6,10.9,24.6
"238",4680,1983,10,25,13.1,-2.9,8.9,24.9
"239",4681,1983,10,26,13.1,5.6,8.9,16.4
"240",4682,1983,10,27,15.6,4.3,6.4,17.7
"241",4683,1983,10,28,17.5,1.6,4.5,20.4
"242",4684,1983,10,29,17.7,3.7,4.3,18.3
"243",4685,1983,10,30,17.1,3.5,4.9,18.5
"244",4686,1983,10,31,14.6,6,7.4,16
"245",4992,1984,9,1,26.3,22.4,1.3,0
"246",4993,1984,9,2,25.6,19.5,0.600000000000001,2.5
"247",4994,1984,9,3,22,18.5,0,3.5
"248",4995,1984,9,4,22.6,18,0,4
"249",4996,1984,9,5,27.8,16.9,2.8,5.1
"250",4997,1984,9,6,27.3,15.8,2.3,6.2
"251",4998,1984,9,7,27.4,18.8,2.4,3.2
"252",4999,1984,9,8,26.3,17.3,1.3,4.7
"253",5000,1984,9,9,26.9,17.1,1.9,4.9
"254",5001,1984,9,10,26.9,14.7,1.9,7.3
"255",5002,1984,9,11,24.8,14.9,0,7.1
"256",5003,1984,9,12,25.4,12.3,0.399999999999999,9.7
"257",5004,1984,9,13,25.3,13.9,0.300000000000001,8.1
"258",5005,1984,9,14,26.7,11.9,1.7,10.1
"259",5006,1984,9,15,27.4,13.6,2.4,8.4
"260",5007,1984,9,16,27.5,13.2,2.5,8.8
"261",5008,1984,9,17,25.4,13.1,0.399999999999999,8.9
"262",5009,1984,9,18,26.5,14.6,1.5,7.4
"263",5010,1984,9,19,26.9,14.8,1.9,7.2
"264",5011,1984,9,20,26.2,15.9,1.2,6.1
"265",5012,1984,9,21,26.4,13.9,1.4,8.1
"266",5013,1984,9,22,27.4,14.2,2.4,7.8
"267",5014,1984,9,23,25.4,13.8,0.399999999999999,8.2
"268",5015,1984,9,24,23.7,13.6,0,8.4
"269",5016,1984,9,25,20.8,11.1,1.2,10.9
"270",5017,1984,9,26,23.3,5.9,0,16.1
"271",5018,1984,9,27,22.1,13.6,0,8.4
"272",5019,1984,9,28,25.8,13.2,0.800000000000001,8.8
"273",5020,1984,9,29,23.8,14.1,0,7.9
"274",5021,1984,9,30,25.4,13.1,0.399999999999999,8.9
"275",5022,1984,10,1,23.4,16.3,0,5.7
"276",5023,1984,10,2,20.5,13.6,1.5,8.4
"277",5024,1984,10,3,19.8,10.7,2.2,11.3
"278",5025,1984,10,4,19.2,5.8,2.8,16.2
"279",5026,1984,10,5,20.1,2.8,1.9,19.2
"280",5027,1984,10,6,20.7,6.3,1.3,15.7
"281",5028,1984,10,7,21.2,6.8,0.800000000000001,15.2
"282",5029,1984,10,8,22.4,7.2,0,14.8
"283",5030,1984,10,9,22.3,4.2,0,17.8
"284",5031,1984,10,10,22.8,4.8,0,17.2
"285",5032,1984,10,11,24.8,6.1,0,15.9
"286",5033,1984,10,12,22,8,0,14
"287",5034,1984,10,13,23,7.8,0,14.2
"288",5035,1984,10,14,20.8,9.5,1.2,12.5
"289",5036,1984,10,15,22.3,8.4,0,13.6
"290",5037,1984,10,16,21.4,8.3,0.600000000000001,13.7
"291",5038,1984,10,17,22.3,9.8,0,12.2
"292",5039,1984,10,18,21.3,4.6,0.699999999999999,17.4
"293",5040,1984,10,19,21.4,8.5,0.600000000000001,13.5
"294",5041,1984,10,20,14.8,7.7,7.2,14.3
"295",5042,1984,10,21,11.6,2.6,10.4,19.4
"296",5043,1984,10,22,21.6,2.4,0.399999999999999,19.6
"297",5044,1984,10,23,21.9,10.7,0.100000000000001,11.3
"298",5045,1984,10,24,19.2,6.8,2.8,15.2
"299",5046,1984,10,25,21,1.4,1,20.6
"300",5047,1984,10,26,25.4,3.2,0.399999999999999,18.8
"301",5048,1984,10,27,17.9,7.1,4.1,14.9
"302",5049,1984,10,28,12.2,5.3,9.8,16.7
"303",5050,1984,10,29,11.9,-0.3,10.1,22.3
"304",5051,1984,10,30,11.5,0.1,10.5,21.9
"305",5052,1984,10,31,16.2,-2.4,5.8,24.4
"306",5357,1985,9,1,30.9,19.8,5.9,2.2
"307",5358,1985,9,2,25.2,21.4,0.199999999999999,0.600000000000001
"308",5359,1985,9,3,32.1,23.3,7.1,0
"309",5360,1985,9,4,29.2,22.1,4.2,0
"310",5361,1985,9,5,31.4,20.8,6.4,1.2
"311",5362,1985,9,6,30.2,21.6,5.2,0.399999999999999
"312",5363,1985,9,7,28.8,18.5,3.8,3.5
"313",5364,1985,9,8,28.4,15.6,3.4,6.4
"314",5365,1985,9,9,29.1,16.8,4.1,5.2
"315",5366,1985,9,10,23.2,18.3,0,3.7
"316",5367,1985,9,11,24.2,21.5,0,0.5
"317",5368,1985,9,12,27.2,18.1,2.2,3.9
"318",5369,1985,9,13,24.9,15,0,7
"319",5370,1985,9,14,23.8,18.2,0,3.8
"320",5371,1985,9,15,20.1,17.5,1.9,4.5
"321",5372,1985,9,16,23,17.2,0,4.8
"322",5373,1985,9,17,23.6,17.8,0,4.2
"323",5374,1985,9,18,23.8,18.2,0,3.8
"324",5375,1985,9,19,19.9,16,2.1,6
"325",5376,1985,9,20,22.1,15.3,0,6.7
"326",5377,1985,9,21,23.6,14.1,0,7.9
"327",5378,1985,9,22,23.1,14.3,0,7.7
"328",5379,1985,9,23,21.4,11.3,0.600000000000001,10.7
"329",5380,1985,9,24,24.6,14.7,0,7.3
"330",5381,1985,9,25,20.4,9.1,1.6,12.9
"331",5382,1985,9,26,23.8,8.3,0,13.7
"332",5383,1985,9,27,24,13.8,0,8.2
"333",5384,1985,9,28,21.2,12.1,0.800000000000001,9.9
"334",5385,1985,9,29,21.2,9.4,0.800000000000001,12.6
"335",5386,1985,9,30,22.5,8.3,0,13.7
"336",5387,1985,10,1,18.3,8.1,3.7,13.9
"337",5388,1985,10,2,19.2,5.7,2.8,16.3
"338",5389,1985,10,3,24,6.1,0,15.9
"339",5390,1985,10,4,22.4,12.2,0,9.8
"340",5391,1985,10,5,16.2,14,5.8,8
"341",5392,1985,10,6,17,13.9,5,8.1
"342",5393,1985,10,7,22.3,11.9,0,10.1
"343",5394,1985,10,8,25.6,11.3,0.600000000000001,10.7
"344",5395,1985,10,9,25.2,12.3,0.199999999999999,9.7
"345",5396,1985,10,10,19.7,17.2,2.3,4.8
"346",5397,1985,10,11,25.2,18.1,0.199999999999999,3.9
"347",5398,1985,10,12,23.1,17.5,0,4.5
"348",5399,1985,10,13,22.6,10.7,0,11.3
"349",5400,1985,10,14,19.8,5.6,2.2,16.4
"350",5401,1985,10,15,23,9.4,0,12.6
"351",5402,1985,10,16,17.4,12.6,4.6,9.4
"352",5403,1985,10,17,14.6,6.4,7.4,15.6
"353",5404,1985,10,18,15,6.4,7,15.6
"354",5405,1985,10,19,14.2,4.3,7.8,17.7
"355",5406,1985,10,20,15.3,4.5,6.7,17.5
"356",5407,1985,10,21,18,2.3,4,19.7
"357",5408,1985,10,22,21.2,6.4,0.800000000000001,15.6
"358",5409,1985,10,23,20.8,6.7,1.2,15.3
"359",5410,1985,10,24,19,7,3,15
"360",5411,1985,10,25,18.9,5,3.1,17
"361",5412,1985,10,26,19.8,8.2,2.2,13.8
"362",5413,1985,10,27,20.2,6.8,1.8,15.2
"363",5414,1985,10,28,20.8,9.3,1.2,12.7
"364",5415,1985,10,29,20.6,11.8,1.4,10.2
"365",5416,1985,10,30,20.6,9.3,1.4,12.7
"366",5417,1985,10,31,17,8.2,5,13.8
"367",5722,1986,9,1,30.8,16.8,5.8,5.2
"368",5723,1986,9,2,21.3,17.7,0.699999999999999,4.3
"369",5724,1986,9,3,29,18.4,4,3.6
"370",5725,1986,9,4,28.8,18.6,3.8,3.4
"371",5726,1986,9,5,29.8,19.6,4.8,2.4
"372",5727,1986,9,6,27.4,17.6,2.4,4.4
"373",5728,1986,9,7,26.7,15.9,1.7,6.1
"374",5729,1986,9,8,24.6,17,0,5
"375",5730,1986,9,9,26.4,19,1.4,3
"376",5731,1986,9,10,27.3,19,2.3,3
"377",5732,1986,9,11,26.9,17.8,1.9,4.2
"378",5733,1986,9,12,26.8,15.8,1.8,6.2
"379",5734,1986,9,13,25.2,14,0.199999999999999,8
"380",5735,1986,9,14,25,12.7,0,9.3
"381",5736,1986,9,15,26.9,14.9,1.9,7.1
"382",5737,1986,9,16,25.8,14.2,0.800000000000001,7.8
"383",5738,1986,9,17,20.1,12.1,1.9,9.9
"384",5739,1986,9,18,21.3,9.9,0.699999999999999,12.1
"385",5740,1986,9,19,23.2,9,0,13
"386",5741,1986,9,20,18.2,14.4,3.8,7.6
"387",5742,1986,9,21,17.4,13.6,4.6,8.4
"388",5743,1986,9,22,26.1,11.6,1.1,10.4
"389",5744,1986,9,23,26.5,11.3,1.5,10.7
"390",5745,1986,9,24,22.1,7.5,0,14.5
"391",5746,1986,9,25,25.4,8.2,0.399999999999999,13.8
"392",5747,1986,9,26,25.4,8.9,0.399999999999999,13.1
"393",5748,1986,9,27,24.2,9.5,0,12.5
"394",5749,1986,9,28,25.2,11.7,0.199999999999999,10.3
"395",5750,1986,9,29,23.4,10.3,0,11.7
"396",5751,1986,9,30,20.6,10.4,1.4,11.6
"397",5752,1986,10,1,18.2,11.3,3.8,10.7
"398",5753,1986,10,2,19.6,11.4,2.4,10.6
"399",5754,1986,10,3,22.6,11.8,0,10.2
"400",5755,1986,10,4,24.9,9.2,0,12.8
"401",5756,1986,10,5,22.8,8.1,0,13.9
"402",5757,1986,10,6,23.3,12.5,0,9.5
"403",5758,1986,10,7,23.9,10.9,0,11.1
"404",5759,1986,10,8,22.8,11.7,0,10.3
"405",5760,1986,10,9,18.2,13.6,3.8,8.4
"406",5761,1986,10,10,20.1,12.6,1.9,9.4
"407",5762,1986,10,11,19.2,8.5,2.8,13.5
"408",5763,1986,10,12,20.3,4.1,1.7,17.9
"409",5764,1986,10,13,22.2,6.9,0,15.1
"410",5765,1986,10,14,20.3,7.7,1.7,14.3
"411",5766,1986,10,15,19.4,9.5,2.6,12.5
"412",5767,1986,10,16,17.8,8.4,4.2,13.6
"413",5768,1986,10,17,14,4,8,18
"414",5769,1986,10,18,17.3,4.8,4.7,17.2
"415",5770,1986,10,19,18,3.3,4,18.7
"416",5771,1986,10,20,19,6.7,3,15.3
"417",5772,1986,10,21,11.8,9.9,10.2,12.1
"418",5773,1986,10,22,17.2,5.9,4.8,16.1
"419",5774,1986,10,23,16.7,3,5.3,19
"420",5775,1986,10,24,17.4,6.4,4.6,15.6
"421",5776,1986,10,25,19.8,4.5,2.2,17.5
"422",5777,1986,10,26,14.4,3.3,7.6,18.7
"423",5778,1986,10,27,15.9,0,6.1,22
"424",5779,1986,10,28,11.4,1.3,10.6,20.7
"425",5780,1986,10,29,11.2,0.3,10.8,21.7
"426",5781,1986,10,30,8.7,-0.5,13.3,22.5
"427",5782,1986,10,31,12.4,-2.4,9.6,24.4
"428",6087,1987,9,1,27.4,18.4,2.4,3.6
"429",6088,1987,9,2,28,14.9,3,7.1
"430",6089,1987,9,3,28.8,18,3.8,4
"431",6090,1987,9,4,25.1,16.3,0.100000000000001,5.7
"432",6091,1987,9,5,21.4,18.8,0.600000000000001,3.2
"433",6092,1987,9,6,27.6,19.2,2.6,2.8
"434",6093,1987,9,7,24.9,15.8,0,6.2
"435",6094,1987,9,8,25.8,16,0.800000000000001,6
"436",6095,1987,9,9,26.1,14,1.1,8
"437",6096,1987,9,10,25.2,18.1,0.199999999999999,3.9
"438",6097,1987,9,11,24.8,18,0,4
"439",6098,1987,9,12,27.6,14.9,2.6,7.1
"440",6099,1987,9,13,26.8,13.8,1.8,8.2
"441",6100,1987,9,14,27.4,14.5,2.4,7.5
"442",6101,1987,9,15,27,17.7,2,4.3
"443",6102,1987,9,16,24.8,15.6,0,6.4
"444",6103,1987,9,17,23.2,11.5,0,10.5
"445",6104,1987,9,18,24.8,9.4,0,12.6
"446",6105,1987,9,19,27.8,10.8,2.8,11.2
"447",6106,1987,9,20,29.4,13.8,4.4,8.2
"448",6107,1987,9,21,27.6,13.1,2.6,8.9
"449",6108,1987,9,22,27.5,13.5,2.5,8.5
"450",6109,1987,9,23,26.4,11.2,1.4,10.8
"451",6110,1987,9,24,28.1,11,3.1,11
"452",6111,1987,9,25,22.6,12.2,0,9.8
"453",6112,1987,9,26,16.4,9.2,5.6,12.8
"454",6113,1987,9,27,21.4,3,0.600000000000001,19
"455",6114,1987,9,28,24.2,8.6,0,13.4
"456",6115,1987,9,29,23.5,10.8,0,11.2
"457",6116,1987,9,30,25.4,7.8,0.399999999999999,14.2
"458",6117,1987,10,1,26.3,10.8,1.3,11.2
"459",6118,1987,10,2,24.9,10,0,12
"460",6119,1987,10,3,26,11.6,1,10.4
"461",6120,1987,10,4,27.8,8.3,2.8,13.7
"462",6121,1987,10,5,28.4,9.6,3.4,12.4
"463",6122,1987,10,6,27.2,11.4,2.2,10.6
"464",6123,1987,10,7,24.4,11.5,0,10.5
"465",6124,1987,10,8,24.2,6.9,0,15.1
"466",6125,1987,10,9,26.6,8.9,1.6,13.1
"467",6126,1987,10,10,27,14,2,8
"468",6127,1987,10,11,24.8,10,0,12
"469",6128,1987,10,12,25.6,13.4,0.600000000000001,8.6
"470",6129,1987,10,13,20.4,10.3,1.6,11.7
"471",6130,1987,10,14,20.8,13,1.2,9
"472",6131,1987,10,15,21.5,15,0.5,7
"473",6132,1987,10,16,25.3,14.3,0.300000000000001,7.7
"474",6133,1987,10,17,21.9,9.7,0.100000000000001,12.3
"475",6134,1987,10,18,17.6,10.1,4.4,11.9
"476",6135,1987,10,19,13.8,7.8,8.2,14.2
"477",6136,1987,10,20,12.3,4.9,9.7,17.1
"478",6137,1987,10,21,10.8,3,11.2,19
"479",6138,1987,10,22,13.4,0.4,8.6,21.6
"480",6139,1987,10,23,18.4,0.5,3.6,21.5
"481",6140,1987,10,24,18.8,6.6,3.2,15.4
"482",6141,1987,10,25,16.1,2.5,5.9,19.5
"483",6142,1987,10,26,19.5,3.3,2.5,18.7
"484",6143,1987,10,27,19.8,1.5,2.2,20.5
"485",6144,1987,10,28,21.5,4,0.5,18
"486",6145,1987,10,29,21.3,7,0.699999999999999,15
"487",6146,1987,10,30,17.8,14,4.2,8
"488",6147,1987,10,31,16,12.6,6,9.4
"489",6453,1988,9,1,29.2,16.2,4.2,5.8
"490",6454,1988,9,2,26.4,19.3,1.4,2.7
"491",6455,1988,9,3,27,17.3,2,4.7
"492",6456,1988,9,4,29,17.7,4,4.3
