"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3043,1980,5,1,17.3,7.3,0.699999999999999,10.7
"2",3044,1980,5,2,28.2,6.8,4.2,11.2
"3",3045,1980,5,3,23,9.2,0,8.8
"4",3046,1980,5,4,28.4,15.1,4.4,2.9
"5",3047,1980,5,5,28,7.1,4,10.9
"6",3048,1980,5,6,24.6,7.4,0.600000000000001,10.6
"7",3049,1980,5,7,19.3,5.7,0,12.3
"8",3050,1980,5,8,18,6.7,0,11.3
"9",3051,1980,5,9,20.8,11.2,0,6.8
"10",3052,1980,5,10,28.8,12.4,4.8,5.6
"11",3053,1980,5,11,32.3,15.5,8.3,2.5
"12",3054,1980,5,12,16.1,13.4,1.9,4.6
"13",3055,1980,5,13,26.6,13.1,2.6,4.9
"14",3056,1980,5,14,29.9,13.5,5.9,4.5
"15",3057,1980,5,15,18.7,9,0,9
"16",3058,1980,5,16,21,8.4,0,9.6
"17",3059,1980,5,17,18.9,8.3,0,9.7
"18",3060,1980,5,18,23.2,6.8,0,11.2
"19",3061,1980,5,19,24.8,10,0.800000000000001,8
"20",3062,1980,5,20,16,12.6,2,5.4
"21",3063,1980,5,21,23.7,11.4,0,6.6
"22",3064,1980,5,22,24.8,9,0.800000000000001,9
"23",3065,1980,5,23,30.1,14.5,6.1,3.5
"24",3066,1980,5,24,28.5,14.8,4.5,3.2
"25",3067,1980,5,25,24.3,15.6,0.300000000000001,2.4
"26",3068,1980,5,26,22.3,12.5,0,5.5
"27",3069,1980,5,27,27,10.6,3,7.4
"28",3070,1980,5,28,30.4,9.9,6.4,8.1
"29",3071,1980,5,29,29.4,16.7,5.4,1.3
"30",3072,1980,5,30,24.6,14.9,0.600000000000001,3.1
"31",3073,1980,5,31,21.5,14,0,4
"32",3074,1980,6,1,22,15.3,0,2.7
"33",3075,1980,6,2,27.5,14.9,3.5,3.1
"34",3076,1980,6,3,25.8,14.7,1.8,3.3
"35",3077,1980,6,4,28.5,12.5,4.5,5.5
"36",3078,1980,6,5,32,16,8,2
"37",3079,1980,6,6,34.9,17.6,10.9,0.399999999999999
"38",3080,1980,6,7,30,13.2,6,4.8
"39",3081,1980,6,8,23,15.5,0,2.5
"40",3082,1980,6,9,19.8,15,0,3
"41",3083,1980,6,10,28.5,16,4.5,2
"42",3084,1980,6,11,28.5,18.6,4.5,0
"43",3085,1980,6,12,32.9,19,8.9,0
"44",3086,1980,6,13,31.9,17.8,7.9,0.199999999999999
"45",3087,1980,6,14,32.5,16.7,8.5,1.3
"46",3088,1980,6,15,30.1,20.2,6.1,0
"47",3089,1980,6,16,31,21.7,7,0
"48",3090,1980,6,17,28.6,21.1,4.6,0
"49",3091,1980,6,18,29.5,18.9,5.5,0
"50",3092,1980,6,19,21.8,16.3,0,1.7
"51",3093,1980,6,20,24.3,15.5,0.300000000000001,2.5
"52",3094,1980,6,21,27.1,14.6,3.1,3.4
"53",3095,1980,6,22,33.3,19,9.3,0
"54",3096,1980,6,23,32.6,20.2,8.6,0
"55",3097,1980,6,24,31.5,20.8,7.5,0
"56",3098,1980,6,25,23.3,18.4,0,0
"57",3099,1980,6,26,28.5,18.1,4.5,0
"58",3100,1980,6,27,30.9,18.2,6.9,0
"59",3101,1980,6,28,29,19.5,5,0
"60",3102,1980,6,29,25.6,19.1,1.6,0
"61",3103,1980,6,30,23.1,18.6,0,0
"62",3104,1980,7,1,19.6,16.8,0,1.2
"63",3105,1980,7,2,21.3,17.7,0,0.300000000000001
"64",3106,1980,7,3,21.6,17,0,1
"65",3107,1980,7,4,27.1,17.1,3.1,0.899999999999999
"66",3108,1980,7,5,29.6,20.4,5.6,0
"67",3109,1980,7,6,27.7,20.2,3.7,0
"68",3110,1980,7,7,30.6,19.8,6.6,0
"69",3111,1980,7,8,29.3,19.5,5.3,0
"70",3112,1980,7,9,25,20.2,1,0
"71",3113,1980,7,10,25.8,19.1,1.8,0
"72",3114,1980,7,11,23.4,17.6,0,0.399999999999999
"73",3115,1980,7,12,26.1,16.9,2.1,1.1
"74",3116,1980,7,13,26.1,18.8,2.1,0
"75",3117,1980,7,14,27.9,19.2,3.9,0
"76",3118,1980,7,15,22.7,18.7,0,0
"77",3119,1980,7,16,25.7,16.3,1.7,1.7
"78",3120,1980,7,17,23.9,16.2,0,1.8
"79",3121,1980,7,18,21.7,18.2,0,0
"80",3122,1980,7,19,29.6,18.4,5.6,0
"81",3123,1980,7,20,33.4,22.1,9.4,0
"82",3124,1980,7,21,34,22.3,10,0
"83",3125,1980,7,22,27.3,21.6,3.3,0
"84",3126,1980,7,23,31.7,19.3,7.7,0
"85",3127,1980,7,24,32.1,17.9,8.1,0.100000000000001
"86",3128,1980,7,25,27.6,20.9,3.6,0
"87",3129,1980,7,26,25,20.5,1,0
"88",3130,1980,7,27,26.5,20.2,2.5,0
"89",3131,1980,7,28,23.6,19.1,0,0
"90",3132,1980,7,29,22.1,19.8,0,0
"91",3133,1980,7,30,24.7,19.2,0.699999999999999,0
"92",3134,1980,7,31,25.3,16.3,1.3,1.7
"93",3408,1981,5,1,28.5,15.2,4.5,2.8
"94",3409,1981,5,2,24.4,13,0.399999999999999,5
"95",3410,1981,5,3,20.5,10.5,0,7.5
"96",3411,1981,5,4,22.1,7,0,11
"97",3412,1981,5,5,27.1,6.5,3.1,11.5
"98",3413,1981,5,6,23.1,8.6,0,9.4
"99",3414,1981,5,7,25.1,10.4,1.1,7.6
"100",3415,1981,5,8,31.5,11.7,7.5,6.3
"101",3416,1981,5,9,23.1,14.4,0,3.6
"102",3417,1981,5,10,16.6,10.7,1.4,7.3
"103",3418,1981,5,11,22.8,10.6,0,7.4
"104",3419,1981,5,12,22.4,10.2,0,7.8
"105",3420,1981,5,13,25.8,10.4,1.8,7.6
"106",3421,1981,5,14,28.3,14,4.3,4
"107",3422,1981,5,15,17.9,9.6,0.100000000000001,8.4
"108",3423,1981,5,16,12.6,9.7,5.4,8.3
"109",3424,1981,5,17,12.1,8.5,5.9,9.5
"110",3425,1981,5,18,13.5,3.3,4.5,14.7
"111",3426,1981,5,19,16.5,7.5,1.5,10.5
"112",3427,1981,5,20,24.6,7.2,0.600000000000001,10.8
"113",3428,1981,5,21,28.3,14.2,4.3,3.8
"114",3429,1981,5,22,30.2,12.6,6.2,5.4
"115",3430,1981,5,23,30.7,13.2,6.7,4.8
"116",3431,1981,5,24,23.5,10.8,0,7.2
"117",3432,1981,5,25,23.7,12,0,6
"118",3433,1981,5,26,33.4,15.6,9.4,2.4
"119",3434,1981,5,27,29.6,13.8,5.6,4.2
"120",3435,1981,5,28,25.6,11,1.6,7
"121",3436,1981,5,29,17.7,7.9,0.300000000000001,10.1
"122",3437,1981,5,30,17.5,7.1,0.5,10.9
"123",3438,1981,5,31,25.5,9.1,1.5,8.9
"124",3439,1981,6,1,16.5,7.5,1.5,10.5
"125",3440,1981,6,2,26.8,6,2.8,12
"126",3441,1981,6,3,27.6,11.4,3.6,6.6
"127",3442,1981,6,4,29,15.9,5,2.1
"128",3443,1981,6,5,28.1,10.5,4.1,7.5
"129",3444,1981,6,6,30,12.5,6,5.5
"130",3445,1981,6,7,23.3,12.5,0,5.5
"131",3446,1981,6,8,34.1,13,10.1,5
"132",3447,1981,6,9,27.1,13.8,3.1,4.2
"133",3448,1981,6,10,22,14.6,0,3.4
"134",3449,1981,6,11,24.8,14.8,0.800000000000001,3.2
"135",3450,1981,6,12,19.8,14.4,0,3.6
"136",3451,1981,6,13,27.2,12.6,3.2,5.4
"137",3452,1981,6,14,21.1,15.6,0,2.4
"138",3453,1981,6,15,21.8,15,0,3
"139",3454,1981,6,16,31.4,14.7,7.4,3.3
"140",3455,1981,6,17,33.2,19.8,9.2,0
"141",3456,1981,6,18,26.8,18.7,2.8,0
"142",3457,1981,6,19,19.8,15.4,0,2.6
"143",3458,1981,6,20,24.4,15.6,0.399999999999999,2.4
"144",3459,1981,6,21,26.1,16.3,2.1,1.7
"145",3460,1981,6,22,32.8,15.9,8.8,2.1
"146",3461,1981,6,23,24.9,15.4,0.899999999999999,2.6
"147",3462,1981,6,24,28.7,16,4.7,2
"148",3463,1981,6,25,22,15.8,0,2.2
"149",3464,1981,6,26,25.7,15.9,1.7,2.1
"150",3465,1981,6,27,31.8,20.4,7.8,0
"151",3466,1981,6,28,24.7,16.9,0.699999999999999,1.1
"152",3467,1981,6,29,21.9,16.4,0,1.6
"153",3468,1981,6,30,23.7,17.2,0,0.800000000000001
"154",3469,1981,7,1,21.6,18.2,0,0
"155",3470,1981,7,2,32.2,18.7,8.2,0
"156",3471,1981,7,3,21.7,17.2,0,0.800000000000001
"157",3472,1981,7,4,22.4,16.7,0,1.3
"158",3473,1981,7,5,30.4,17.5,6.4,0.5
"159",3474,1981,7,6,27.6,24.4,3.6,0.399999999999999
"160",3475,1981,7,7,28.5,18.9,4.5,0
"161",3476,1981,7,8,33.6,19.6,9.6,0
"162",3477,1981,7,9,29.2,24.4,5.2,0.399999999999999
"163",3478,1981,7,10,28.7,19.9,4.7,0
"164",3479,1981,7,11,24,18.3,0,0
"165",3480,1981,7,12,24.7,18.3,0.699999999999999,0
"166",3481,1981,7,13,26.7,19.1,2.7,0
"167",3482,1981,7,14,31.6,19.9,7.6,0
"168",3483,1981,7,15,34,24,10,0
"169",3484,1981,7,16,35.7,23.5,11.7,0
"170",3485,1981,7,17,36.2,26.2,12.2,2.2
"171",3486,1981,7,18,34.4,25.3,10.4,1.3
"172",3487,1981,7,19,36.5,25.3,12.5,1.3
"173",3488,1981,7,20,35.3,25,11.3,1
"174",3489,1981,7,21,33.4,25,9.4,1
"175",3490,1981,7,22,30.3,24,6.3,0
"176",3491,1981,7,23,27.2,22.4,3.2,0
"177",3492,1981,7,24,28.4,22.1,4.4,0
"178",3493,1981,7,25,34.9,23.2,10.9,0
"179",3494,1981,7,26,28.4,23.2,4.4,0
"180",3495,1981,7,27,26.5,22.6,2.5,0
"181",3496,1981,7,28,29.5,22.3,5.5,0
"182",3497,1981,7,29,32.5,23.2,8.5,0
"183",3498,1981,7,30,33.4,22.2,9.4,0
"184",3499,1981,7,31,30,21.9,6,0
"185",3773,1982,5,1,20.2,12.5,0,5.5
"186",3774,1982,5,2,17.6,11.5,0.399999999999999,6.5
"187",3775,1982,5,3,16.6,11.8,1.4,6.2
"188",3776,1982,5,4,23.1,9,0,9
"189",3777,1982,5,5,28.9,12.6,4.9,5.4
"190",3778,1982,5,6,22.8,9.9,0,8.1
"191",3779,1982,5,7,26.4,9.1,2.4,8.9
"192",3780,1982,5,8,26.3,11.1,2.3,6.9
"193",3781,1982,5,9,29.8,13.7,5.8,4.3
"194",3782,1982,5,10,29.1,14,5.1,4
"195",3783,1982,5,11,31.8,14.2,7.8,3.8
"196",3784,1982,5,12,26,15.1,2,2.9
"197",3785,1982,5,13,16.3,11.6,1.7,6.4
"198",3786,1982,5,14,20.2,7.7,0,10.3
"199",3787,1982,5,15,26.9,7.7,2.9,10.3
"200",3788,1982,5,16,26.3,17,2.3,1
"201",3789,1982,5,17,30.2,15.5,6.2,2.5
"202",3790,1982,5,18,20.9,11.6,0,6.4
"203",3791,1982,5,19,18.9,10,0,8
"204",3792,1982,5,20,16.6,9.8,1.4,8.2
"205",3793,1982,5,21,20.4,5.4,0,12.6
"206",3794,1982,5,22,20.2,10.6,0,7.4
"207",3795,1982,5,23,31,9.3,7,8.7
"208",3796,1982,5,24,32.9,15.3,8.9,2.7
"209",3797,1982,5,25,28.1,15.9,4.1,2.1
"210",3798,1982,5,26,24,15.7,0,2.3
"211",3799,1982,5,27,31.1,15.1,7.1,2.9
"212",3800,1982,5,28,31.9,18.1,7.9,0
"213",3801,1982,5,29,27.7,15.7,3.7,2.3
"214",3802,1982,5,30,18.6,15.4,0,2.6
"215",3803,1982,5,31,15.9,13.5,2.1,4.5
"216",3804,1982,6,1,15.8,12.9,2.2,5.1
"217",3805,1982,6,2,18.7,11.9,0,6.1
"218",3806,1982,6,3,26.1,13.2,2.1,4.8
"219",3807,1982,6,4,32.3,14.6,8.3,3.4
"220",3808,1982,6,5,24,11.2,0,6.8
"221",3809,1982,6,6,27.9,12.3,3.9,5.7
"222",3810,1982,6,7,31.2,15.2,7.2,2.8
"223",3811,1982,6,8,24.9,12.1,0.899999999999999,5.9
"224",3812,1982,6,9,25.3,11.7,1.3,6.3
"225",3813,1982,6,10,31.8,14.6,7.8,3.4
"226",3814,1982,6,11,32.9,17.5,8.9,0.5
"227",3815,1982,6,12,33.7,20.2,9.7,0
"228",3816,1982,6,13,21.5,16.6,0,1.4
"229",3817,1982,6,14,22.2,14,0,4
"230",3818,1982,6,15,31.5,12.5,7.5,5.5
"231",3819,1982,6,16,30.2,17.7,6.2,0.300000000000001
"232",3820,1982,6,17,25.9,14.8,1.9,3.2
"233",3821,1982,6,18,22.4,13.1,0,4.9
"234",3822,1982,6,19,24.9,16.6,0.899999999999999,1.4
"235",3823,1982,6,20,24.9,17,0.899999999999999,1
"236",3824,1982,6,21,24.2,17.2,0.199999999999999,0.800000000000001
"237",3825,1982,6,22,24.7,15.7,0.699999999999999,2.3
"238",3826,1982,6,23,23.9,17.1,0,0.899999999999999
"239",3827,1982,6,24,23.8,16.8,0,1.2
"240",3828,1982,6,25,22.1,17.3,0,0.699999999999999
"241",3829,1982,6,26,20.9,13.1,0,4.9
"242",3830,1982,6,27,21.1,16.3,0,1.7
"243",3831,1982,6,28,25,14.8,1,3.2
"244",3832,1982,6,29,24.3,12.7,0.300000000000001,5.3
"245",3833,1982,6,30,28.6,10.8,4.6,7.2
"246",3834,1982,7,1,25.8,12.3,1.8,5.7
"247",3835,1982,7,2,22.2,17,0,1
"248",3836,1982,7,3,25.4,13.8,1.4,4.2
"249",3837,1982,7,4,25.1,16.5,1.1,1.5
"250",3838,1982,7,5,27.5,15.8,3.5,2.2
"251",3839,1982,7,6,27.7,17.6,3.7,0.399999999999999
"252",3840,1982,7,7,28,17.9,4,0.100000000000001
"253",3841,1982,7,8,30.4,18.3,6.4,0
"254",3842,1982,7,9,33.6,17,9.6,1
"255",3843,1982,7,10,32.2,19.8,8.2,0
"256",3844,1982,7,11,33.9,21.9,9.9,0
"257",3845,1982,7,12,33,16.8,9,1.2
"258",3846,1982,7,13,27.5,20.8,3.5,0
"259",3847,1982,7,14,23.5,19.9,0,0
"260",3848,1982,7,15,25.3,20,1.3,0
"261",3849,1982,7,16,24.5,19.2,0.5,0
"262",3850,1982,7,17,32.1,16.7,8.1,1.3
"263",3851,1982,7,18,30.2,18.1,6.2,0
"264",3852,1982,7,19,30.7,16.9,6.7,1.1
"265",3853,1982,7,20,29.7,18.8,5.7,0
"266",3854,1982,7,21,28.8,17.3,4.8,0.699999999999999
"267",3855,1982,7,22,27.6,16.7,3.6,1.3
"268",3856,1982,7,23,22.5,20.7,0,0
"269",3857,1982,7,24,22.5,20.8,0,0
"270",3858,1982,7,25,24,21.4,0,0
"271",3859,1982,7,26,32.1,21.7,8.1,0
"272",3860,1982,7,27,27.7,20.6,3.7,0
"273",3861,1982,7,28,24,19.5,0,0
"274",3862,1982,7,29,22.8,19.6,0,0
"275",3863,1982,7,30,30.4,19.6,6.4,0
"276",3864,1982,7,31,24.3,20.8,0.300000000000001,0
"277",4138,1983,5,1,17.1,11.1,0.899999999999999,6.9
"278",4139,1983,5,2,24.1,11.3,0.100000000000001,6.7
"279",4140,1983,5,3,27.1,13.8,3.1,4.2
"280",4141,1983,5,4,26.9,12.5,2.9,5.5
"281",4142,1983,5,5,15.6,8.9,2.4,9.1
"282",4143,1983,5,6,10.9,7.9,7.1,10.1
"283",4144,1983,5,7,19.6,7.2,0,10.8
"284",4145,1983,5,8,22.4,7.8,0,10.2
"285",4146,1983,5,9,20.1,6.7,0,11.3
"286",4147,1983,5,10,28.1,8.8,4.1,9.2
"287",4148,1983,5,11,27.9,13.5,3.9,4.5
"288",4149,1983,5,12,27.9,13,3.9,5
"289",4150,1983,5,13,30.1,13.4,6.1,4.6
"290",4151,1983,5,14,18.1,7.4,0,10.6
"291",4152,1983,5,15,20.3,5.5,0,12.5
"292",4153,1983,5,16,15.5,8.9,2.5,9.1
"293",4154,1983,5,17,18.8,6,0,12
"294",4155,1983,5,18,23.9,4.4,0,13.6
"295",4156,1983,5,19,23.2,12,0,6
"296",4157,1983,5,20,26.5,12.4,2.5,5.6
"297",4158,1983,5,21,27.3,11.1,3.3,6.9
"298",4159,1983,5,22,16.4,10.7,1.6,7.3
"299",4160,1983,5,23,16.3,13.3,1.7,4.7
"300",4161,1983,5,24,19.7,11.3,0,6.7
"301",4162,1983,5,25,15.1,11.3,2.9,6.7
"302",4163,1983,5,26,20.8,12.1,0,5.9
"303",4164,1983,5,27,23,14.5,0,3.5
"304",4165,1983,5,28,27.3,16.3,3.3,1.7
"305",4166,1983,5,29,33.3,17.2,9.3,0.800000000000001
"306",4167,1983,5,30,31,16,7,2
"307",4168,1983,5,31,35.8,16.6,11.8,1.4
"308",4169,1983,6,1,28.3,12,4.3,6
"309",4170,1983,6,2,35.3,13,11.3,5
"310",4171,1983,6,3,19,12.6,0,5.4
"311",4172,1983,6,4,19,12.3,0,5.7
"312",4173,1983,6,5,25.6,9.8,1.6,8.2
"313",4174,1983,6,6,29.6,18.7,5.6,0
"314",4175,1983,6,7,27.2,13.5,3.2,4.5
"315",4176,1983,6,8,30.1,14.3,6.1,3.7
"316",4177,1983,6,9,26.6,14.3,2.6,3.7
"317",4178,1983,6,10,18.8,12.6,0,5.4
"318",4179,1983,6,11,18.8,11.1,0,6.9
"319",4180,1983,6,12,17.6,14.9,0.399999999999999,3.1
"320",4181,1983,6,13,21.3,16,0,2
"321",4182,1983,6,14,33.9,15.6,9.9,2.4
"322",4183,1983,6,15,25.2,15.2,1.2,2.8
"323",4184,1983,6,16,17.8,14.7,0.199999999999999,3.3
"324",4185,1983,6,17,20.2,12.7,0,5.3
"325",4186,1983,6,18,21.2,12.6,0,5.4
"326",4187,1983,6,19,20.3,14.6,0,3.4
"327",4188,1983,6,20,18.1,16.2,0,1.8
"328",4189,1983,6,21,24.6,16.7,0.600000000000001,1.3
"329",4190,1983,6,22,20.1,17.1,0,0.899999999999999
"330",4191,1983,6,23,22.3,17.2,0,0.800000000000001
"331",4192,1983,6,24,25.9,18,1.9,0
"332",4193,1983,6,25,20.1,17.1,0,0.899999999999999
"333",4194,1983,6,26,23,16.6,0,1.4
"334",4195,1983,6,27,26.3,16.2,2.3,1.8
"335",4196,1983,6,28,23.4,18.5,0,0
"336",4197,1983,6,29,23.8,17.6,0,0.399999999999999
"337",4198,1983,6,30,26.8,17.4,2.8,0.600000000000001
"338",4199,1983,7,1,29.2,20.4,5.2,0
"339",4200,1983,7,2,23.8,19.3,0,0
"340",4201,1983,7,3,29.9,20.6,5.9,0
"341",4202,1983,7,4,31.8,19.6,7.8,0
"342",4203,1983,7,5,23.6,18.5,0,0
"343",4204,1983,7,6,19.7,16.7,0,1.3
"344",4205,1983,7,7,20.3,15.4,0,2.6
"345",4206,1983,7,8,21.2,14.9,0,3.1
"346",4207,1983,7,9,22.5,15.6,0,2.4
"347",4208,1983,7,10,22.5,17.2,0,0.800000000000001
"348",4209,1983,7,11,23.7,15.1,0,2.9
"349",4210,1983,7,12,24.2,13.1,0.199999999999999,4.9
"350",4211,1983,7,13,25.1,16.1,1.1,1.9
"351",4212,1983,7,14,22.5,17.2,0,0.800000000000001
"352",4213,1983,7,15,27.8,20.9,3.8,0
"353",4214,1983,7,16,28,20.7,4,0
"354",4215,1983,7,17,29.1,18.1,5.1,0
"355",4216,1983,7,18,33,21,9,0
"356",4217,1983,7,19,30.8,20.2,6.8,0
"357",4218,1983,7,20,27.1,20.2,3.1,0
"358",4219,1983,7,21,28.6,21.3,4.6,0
"359",4220,1983,7,22,25.2,20.2,1.2,0
"360",4221,1983,7,23,27.6,21.2,3.6,0
"361",4222,1983,7,24,28.6,22.2,4.6,0
"362",4223,1983,7,25,34.9,23.4,10.9,0
"363",4224,1983,7,26,35.6,24.7,11.6,0.699999999999999
"364",4225,1983,7,27,34.5,25.7,10.5,1.7
"365",4226,1983,7,28,34.5,23.4,10.5,0
"366",4227,1983,7,29,34.7,24.5,10.7,0.5
"367",4228,1983,7,30,34.6,25.5,10.6,1.5
"368",4229,1983,7,31,36.1,22.1,12.1,0
"369",4504,1984,5,1,16.5,7.6,1.5,10.4
"370",4505,1984,5,2,16.5,6.2,1.5,11.8
"371",4506,1984,5,3,16.3,4.6,1.7,13.4
"372",4507,1984,5,4,23.5,10,0,8
"373",4508,1984,5,5,20.8,9.8,0,8.2
"374",4509,1984,5,6,27.2,9.1,3.2,8.9
"375",4510,1984,5,7,25.1,13.8,1.1,4.2
"376",4511,1984,5,8,30.4,15.4,6.4,2.6
"377",4512,1984,5,9,22.5,9.7,0,8.3
"378",4513,1984,5,10,20.2,6.9,0,11.1
"379",4514,1984,5,11,31,12.4,7,5.6
"380",4515,1984,5,12,22.4,13.2,0,4.8
"381",4516,1984,5,13,13.4,11.2,4.6,6.8
"382",4517,1984,5,14,15.6,7.4,2.4,10.6
"383",4518,1984,5,15,15.1,8.5,2.9,9.5
"384",4519,1984,5,16,15.2,7,2.8,11
"385",4520,1984,5,17,20.8,4.8,0,13.2
"386",4521,1984,5,18,21.8,8.7,0,9.3
"387",4522,1984,5,19,19.8,5.4,0,12.6
"388",4523,1984,5,20,20.4,5.1,0,12.9
"389",4524,1984,5,21,21.4,5.3,0,12.7
"390",4525,1984,5,22,20.5,6.9,0,11.1
"391",4526,1984,5,23,20.8,5.6,0,12.4
"392",4527,1984,5,24,23.3,7.9,0,10.1
"393",4528,1984,5,25,22.8,10,0,8
"394",4529,1984,5,26,26.4,10,2.4,8
"395",4530,1984,5,27,27.2,13.6,3.2,4.4
"396",4531,1984,5,28,26.5,13.9,2.5,4.1
"397",4532,1984,5,29,28.8,15.9,4.8,2.1
"398",4533,1984,5,30,24.2,14.8,0.199999999999999,3.2
"399",4534,1984,5,31,23.8,15.6,0,2.4
"400",4535,1984,6,1,26.5,18.8,2.5,0
"401",4536,1984,6,2,23.1,15.3,0,2.7
"402",4537,1984,6,3,19.8,14.6,0,3.4
"403",4538,1984,6,4,22.8,17.2,0,0.800000000000001
"404",4539,1984,6,5,26.9,17.7,2.9,0.300000000000001
"405",4540,1984,6,6,29.4,18.3,5.4,0
"406",4541,1984,6,7,24.8,15.9,0.800000000000001,2.1
"407",4542,1984,6,8,27.9,15.1,3.9,2.9
"408",4543,1984,6,9,20.2,14.2,0,3.8
"409",4544,1984,6,10,27.5,15.6,3.5,2.4
"410",4545,1984,6,11,31.2,14.4,7.2,3.6
"411",4546,1984,6,12,27.4,14.4,3.4,3.6
"412",4547,1984,6,13,26.4,11.8,2.4,6.2
"413",4548,1984,6,14,24.2,12.5,0.199999999999999,5.5
"414",4549,1984,6,15,22.2,15.9,0,2.1
"415",4550,1984,6,16,20.8,17.7,0,0.300000000000001
"416",4551,1984,6,17,27.3,19.3,3.3,0
"417",4552,1984,6,18,29.6,19,5.6,0
"418",4553,1984,6,19,22,17,0,1
"419",4554,1984,6,20,21,16.7,0,1.3
"420",4555,1984,6,21,23.4,17.4,0,0.600000000000001
"421",4556,1984,6,22,22.4,17.6,0,0.399999999999999
"422",4557,1984,6,23,21.2,17.3,0,0.699999999999999
"423",4558,1984,6,24,23.4,15.9,0,2.1
"424",4559,1984,6,25,21.3,16.9,0,1.1
"425",4560,1984,6,26,25.4,18.7,1.4,0
"426",4561,1984,6,27,30.5,18.1,6.5,0
"427",4562,1984,6,28,27,17.3,3,0.699999999999999
"428",4563,1984,6,29,28.2,16.8,4.2,1.2
"429",4564,1984,6,30,28.2,17,4.2,1
"430",4565,1984,7,1,27.8,17.2,3.8,0.800000000000001
"431",4566,1984,7,2,34.8,21.3,10.8,0
"432",4567,1984,7,3,36.1,22.6,12.1,0
"433",4568,1984,7,4,26.2,18.9,2.2,0
"434",4569,1984,7,5,20.1,18.5,0,0
"435",4570,1984,7,6,23.5,18.7,0,0
"436",4571,1984,7,7,26.9,19.5,2.9,0
"437",4572,1984,7,8,28.7,21.6,4.7,0
"438",4573,1984,7,9,29.2,20.4,5.2,0
"439",4574,1984,7,10,22.2,19.1,0,0
"440",4575,1984,7,11,23.7,18.8,0,0
"441",4576,1984,7,12,22.6,17.7,0,0.300000000000001
"442",4577,1984,7,13,31.9,20.4,7.9,0
"443",4578,1984,7,14,29.9,21.6,5.9,0
"444",4579,1984,7,15,33.4,21,9.4,0
"445",4580,1984,7,16,33.1,19.7,9.1,0
"446",4581,1984,7,17,26.7,18,2.7,0
"447",4582,1984,7,18,26,18.9,2,0
"448",4583,1984,7,19,26.5,19.3,2.5,0
"449",4584,1984,7,20,27,20.6,3,0
"450",4585,1984,7,21,25.8,20.7,1.8,0
"451",4586,1984,7,22,25.1,20.7,1.1,0
"452",4587,1984,7,23,29.6,22,5.6,0
"453",4588,1984,7,24,26.5,21.6,2.5,0
"454",4589,1984,7,25,27.1,21.3,3.1,0
"455",4590,1984,7,26,28.2,22.4,4.2,0
"456",4591,1984,7,27,29.7,20.9,5.7,0
"457",4592,1984,7,28,32.7,22.7,8.7,0
"458",4593,1984,7,29,27.9,21.9,3.9,0
"459",4594,1984,7,30,28.2,23.6,4.2,0
"460",4595,1984,7,31,28.9,21.7,4.9,0
"461",4869,1985,5,1,23.4,11.4,0,6.6
"462",4870,1985,5,2,28.1,14.4,4.1,3.6
"463",4871,1985,5,3,27.9,13.4,3.9,4.6
"464",4872,1985,5,4,22.3,12.1,0,5.9
"465",4873,1985,5,5,23.2,15.4,0,2.6
"466",4874,1985,5,6,17.7,10.6,0.300000000000001,7.4
"467",4875,1985,5,7,13.1,9,4.9,9
"468",4876,1985,5,8,24.1,8.6,0.100000000000001,9.4
"469",4877,1985,5,9,21.9,9.5,0,8.5
"470",4878,1985,5,10,24.7,6.9,0.699999999999999,11.1
"471",4879,1985,5,11,28.1,11.6,4.1,6.4
"472",4880,1985,5,12,30.2,13,6.2,5
"473",4881,1985,5,13,21.7,10.6,0,7.4
"474",4882,1985,5,14,16.7,10.4,1.3,7.6
"475",4883,1985,5,15,18.1,7.1,0,10.9
"476",4884,1985,5,16,25.6,5.4,1.6,12.6
"477",4885,1985,5,17,27.7,8.6,3.7,9.4
"478",4886,1985,5,18,25.6,14.1,1.6,3.9
"479",4887,1985,5,19,24.5,14.8,0.5,3.2
"480",4888,1985,5,20,17,11.5,1,6.5
"481",4889,1985,5,21,17.2,9,0.800000000000001,9
"482",4890,1985,5,22,23.6,6.4,0,11.6
"483",4891,1985,5,23,23.6,9.3,0,8.7
"484",4892,1985,5,24,26.4,12.6,2.4,5.4
"485",4893,1985,5,25,27.5,12.7,3.5,5.3
"486",4894,1985,5,26,20.6,13,0,5
"487",4895,1985,5,27,24.4,11.9,0.399999999999999,6.1
"488",4896,1985,5,28,19.6,9.6,0,8.4
"489",4897,1985,5,29,18.8,9.7,0,8.3
"490",4898,1985,5,30,18.8,7.3,0,10.7
"491",4899,1985,5,31,19.4,12.1,0,5.9
"492",4900,1985,6,1,20.9,10,0,8
"493",4901,1985,6,2,27.7,13.3,3.7,4.7
"494",4902,1985,6,3,27.9,12.2,3.9,5.8
"495",4903,1985,6,4,22.8,11.2,0,6.8
"496",4904,1985,6,5,28.2,9.4,4.2,8.6
"497",4905,1985,6,6,30,11.1,6,6.9
"498",4906,1985,6,7,23.4,16.7,0,1.3
"499",4907,1985,6,8,21.9,14.8,0,3.2
"500",4908,1985,6,9,22.1,13.8,0,4.2
"501",4909,1985,6,10,23.9,16,0,2
"502",4910,1985,6,11,21,17.3,0,0.699999999999999
"503",4911,1985,6,12,21.4,17.3,0,0.699999999999999
