,Year,Mon,Day,tmax,tmin
6939,1980,1,1,12.8,11.0
6940,1980,1,2,14.6,12.2
6941,1980,1,3,14.5,10.2
6942,1980,1,4,11.0,3.2
6943,1980,1,5,9.4,0.9
6944,1980,1,6,8.4,5.0
6945,1980,1,7,6.6,-0.8
6946,1980,1,8,7.9,-2.4
6947,1980,1,9,13.0,4.8
6948,1980,1,10,7.8,2.2
6949,1980,1,11,6.6,-0.2
6950,1980,1,12,8.7,3.2
6951,1980,1,13,10.1,3.2
6952,1980,1,14,7.5,1.2
6953,1980,1,15,6.8,1.9
6954,1980,1,16,9.4,1.0
6955,1980,1,17,8.0,-0.8
6956,1980,1,18,5.6,-1.2
6957,1980,1,19,8.1,3.9
6958,1980,1,20,7.0,3.0
6959,1980,1,21,5.6,0.2
6960,1980,1,22,7.7,0.7
6961,1980,1,23,11.2,0.4
6962,1980,1,24,13.1,4.0
6963,1980,1,25,13.6,3.8
6964,1980,1,26,14.1,6.2
6965,1980,1,27,16.6,11.2
6966,1980,1,28,17.2,12.2
6967,1980,1,29,12.4,9.0
6968,1980,1,30,9.5,-2.0
6969,1980,1,31,2.3,-3.0
6970,1980,2,1,2.4,-2.2
6971,1980,2,2,6.6,0.8
6972,1980,2,3,7.8,1.4
6973,1980,2,4,3.9,-0.6
6974,1980,2,5,0.4,-3.3
6975,1980,2,6,5.4,-3.4
6976,1980,2,7,4.9,-2.0
6977,1980,2,8,2.9,-1.4
6978,1980,2,9,2.9,-1.6
6979,1980,2,10,8.0,-0.4
6980,1980,2,11,9.4,0.4
6981,1980,2,12,8.1,0.4
6982,1980,2,13,8.6,0.2
6983,1980,2,14,8.5,0.6
6984,1980,2,15,8.1,-1.3
6985,1980,2,16,9.2,-0.4
6986,1980,2,17,11.2,0.6
6987,1980,2,18,10.2,4.7
6988,1980,2,19,13.9,6.8
6989,1980,2,20,13.3,4.8
6990,1980,2,21,10.8,4.0
6991,1980,2,22,12.3,2.4
6992,1980,2,23,13.9,4.2
6993,1980,2,24,16.1,6.3
6994,1980,2,25,15.3,4.8
6995,1980,2,26,13.8,8.5
6996,1980,2,27,10.3,3.3
6997,1980,2,28,12.1,2.2
6998,1980,2,29,14.5,4.6
6999,1980,3,1,14.9,6.6
7000,1980,3,2,13.8,4.3
7001,1980,3,3,13.4,7.8
7002,1980,3,4,11.2,4.7
7003,1980,3,5,8.8,7.0
7004,1980,3,6,13.9,7.4
7005,1980,3,7,16.9,8.3
7006,1980,3,8,14.0,8.2
7007,1980,3,9,13.9,8.2
7008,1980,3,10,14.2,5.5
7009,1980,3,11,14.0,7.1
7010,1980,3,12,13.3,4.6
7011,1980,3,13,11.3,8.5
7012,1980,3,14,11.8,4.1
7013,1980,3,15,11.7,2.4
7014,1980,3,16,13.0,4.3
7015,1980,3,17,15.4,7.6
7016,1980,3,18,13.9,6.8
7017,1980,3,19,14.5,7.2
7018,1980,3,20,14.0,6.6
7019,1980,3,21,12.4,9.0
7020,1980,3,22,13.4,4.4
7021,1980,3,23,7.8,3.0
7022,1980,3,24,11.0,2.7
7023,1980,3,25,11.7,3.0
7024,1980,3,26,14.6,3.6
7025,1980,3,27,14.5,3.8
7026,1980,3,28,14.4,4.8
7027,1980,3,29,15.6,9.6
7028,1980,3,30,17.3,8.4
7029,1980,3,31,15.1,11.0
7030,1980,4,1,14.6,7.0
7031,1980,4,2,15.0,6.4
7032,1980,4,3,17.7,6.7
7033,1980,4,4,18.9,12.6
7034,1980,4,5,18.0,16.0
7035,1980,4,6,18.2,7.8
7036,1980,4,7,15.5,4.7
7037,1980,4,8,17.6,9.1
7038,1980,4,9,19.1,10.0
7039,1980,4,10,15.3,10.2
7040,1980,4,11,17.3,10.7
7041,1980,4,12,17.3,15.0
7042,1980,4,13,17.2,12.8
7043,1980,4,14,13.4,9.0
7044,1980,4,15,14.1,6.7
7045,1980,4,16,13.9,6.0
7046,1980,4,17,14.7,5.2
7047,1980,4,18,18.2,10.6
7048,1980,4,19,19.1,16.3
7049,1980,4,20,19.1,11.0
7050,1980,4,21,18.9,9.3
7051,1980,4,22,19.1,11.7
7052,1980,4,23,19.8,10.2
7053,1980,4,24,15.0,9.3
7054,1980,4,25,18.4,9.4
7055,1980,4,26,18.8,8.4
7056,1980,4,27,21.1,10.7
7057,1980,4,28,15.4,9.9
7058,1980,4,29,19.0,9.4
7059,1980,4,30,20.3,14.0
7060,1980,5,1,23.6,12.0
7061,1980,5,2,22.2,11.0
7062,1980,5,3,18.8,16.8
7063,1980,5,4,20.3,16.9
7064,1980,5,5,21.6,16.0
7065,1980,5,6,20.9,13.2
7066,1980,5,7,19.0,12.8
7067,1980,5,8,14.6,11.8
7068,1980,5,9,20.8,12.3
7069,1980,5,10,24.2,11.0
7070,1980,5,11,22.6,12.3
7071,1980,5,12,19.4,14.8
7072,1980,5,13,21.8,14.6
7073,1980,5,14,21.6,13.7
7074,1980,5,15,21.2,15.5
7075,1980,5,16,21.0,10.4
7076,1980,5,17,19.6,8.6
7077,1980,5,18,21.8,11.0
7078,1980,5,19,22.3,13.4
7079,1980,5,20,17.8,13.6
7080,1980,5,21,21.6,15.3
7081,1980,5,22,22.6,14.8
7082,1980,5,23,22.6,14.6
7083,1980,5,24,23.8,15.4
7084,1980,5,25,21.6,19.0
7085,1980,5,26,21.0,12.0
7086,1980,5,27,19.8,8.8
7087,1980,5,28,22.2,14.8
7088,1980,5,29,23.4,17.6
7089,1980,5,30,24.0,19.5
7090,1980,5,31,23.8,17.0
7091,1980,6,1,24.6,17.6
7092,1980,6,2,22.0,16.2
7093,1980,6,3,21.8,13.0
7094,1980,6,4,24.4,17.0
7095,1980,6,5,24.4,17.4
7096,1980,6,6,26.9,17.2
7097,1980,6,7,25.5,19.4
7098,1980,6,8,22.0,19.7
7099,1980,6,9,25.0,16.6
7100,1980,6,10,20.8,17.7
7101,1980,6,11,25.1,17.6
7102,1980,6,12,23.8,19.3
7103,1980,6,13,25.2,19.2
7104,1980,6,14,25.6,19.8
7105,1980,6,15,25.0,20.3
7106,1980,6,16,24.6,22.4
7107,1980,6,17,23.0,21.0
7108,1980,6,18,25.0,19.8
7109,1980,6,19,22.3,18.3
7110,1980,6,20,19.2,17.2
7111,1980,6,21,22.4,18.1
7112,1980,6,22,22.1,18.1
7113,1980,6,23,22.4,20.3
7114,1980,6,24,23.4,21.5
7115,1980,6,25,23.6,21.8
7116,1980,6,26,28.5,20.2
7117,1980,6,27,26.6,21.4
7118,1980,6,28,26.5,21.2
7119,1980,6,29,27.9,20.4
7120,1980,6,30,24.0,20.8
7121,1980,7,1,23.7,20.7
7122,1980,7,2,23.2,19.8
7123,1980,7,3,22.8,19.1
7124,1980,7,4,24.4,18.8
7125,1980,7,5,26.2,20.8
7126,1980,7,6,22.4,20.5
7127,1980,7,7,26.8,19.0
7128,1980,7,8,25.4,20.0
7129,1980,7,9,23.0,20.0
7130,1980,7,10,28.0,22.1
7131,1980,7,11,26.6,22.8
7132,1980,7,12,23.5,20.8
7133,1980,7,13,26.4,22.1
7134,1980,7,14,25.7,20.7
7135,1980,7,15,25.6,20.6
7136,1980,7,16,24.8,21.9
7137,1980,7,17,26.8,21.7
7138,1980,7,18,27.8,23.9
7139,1980,7,19,27.1,24.8
7140,1980,7,20,29.6,25.0
7141,1980,7,21,30.2,25.4
7142,1980,7,22,27.7,25.8
7143,1980,7,23,27.0,24.8
7144,1980,7,24,29.7,22.7
7145,1980,7,25,28.4,22.3
7146,1980,7,26,30.0,24.4
7147,1980,7,27,29.4,22.8
7148,1980,7,28,30.6,25.8
7149,1980,7,29,28.3,24.8
7150,1980,7,30,26.1,22.3
7151,1980,7,31,24.8,21.1
7152,1980,8,1,26.8,20.7
7153,1980,8,2,26.2,20.4
7154,1980,8,3,26.6,21.0
7155,1980,8,4,26.2,21.6
7156,1980,8,5,24.0,20.7
7157,1980,8,6,24.7,20.6
7158,1980,8,7,22.8,20.6
7159,1980,8,8,25.6,20.6
7160,1980,8,9,26.7,18.8
7161,1980,8,10,27.9,20.1
7162,1980,8,11,28.0,20.2
7163,1980,8,12,26.4,22.0
7164,1980,8,13,26.4,22.9
7165,1980,8,14,25.9,21.9
7166,1980,8,15,25.2,22.4
7167,1980,8,16,24.0,21.2
7168,1980,8,17,24.4,21.2
7169,1980,8,18,27.0,22.7
7170,1980,8,19,26.4,22.0
7171,1980,8,20,28.1,21.4
7172,1980,8,21,28.0,22.6
7173,1980,8,22,24.8,22.0
7174,1980,8,23,28.4,21.2
7175,1980,8,24,27.4,21.0
7176,1980,8,25,27.8,23.1
7177,1980,8,26,29.2,22.5
7178,1980,8,27,27.5,20.6
7179,1980,8,28,26.8,23.4
7180,1980,8,29,30.0,25.6
7181,1980,8,30,28.0,23.9
7182,1980,8,31,26.8,22.3
7183,1980,9,1,27.6,21.7
7184,1980,9,2,28.4,21.6
7185,1980,9,3,29.2,22.4
7186,1980,9,4,29.4,23.1
7187,1980,9,5,29.2,23.0
7188,1980,9,6,25.0,20.1
7189,1980,9,7,24.3,17.7
7190,1980,9,8,27.4,18.3
7191,1980,9,9,25.6,21.3
7192,1980,9,10,25.4,21.1
7193,1980,9,11,28.0,20.1
7194,1980,9,12,28.4,19.5
7195,1980,9,13,30.0,19.3
7196,1980,9,14,26.8,18.0
7197,1980,9,15,27.5,18.9
7198,1980,9,16,27.6,18.9
7199,1980,9,17,26.6,18.3
7200,1980,9,18,26.0,18.9
7201,1980,9,19,22.6,19.0
7202,1980,9,20,25.0,17.4
7203,1980,9,21,21.8,16.0
7204,1980,9,22,23.0,18.0
7205,1980,9,23,22.8,16.6
7206,1980,9,24,21.2,15.7
7207,1980,9,25,21.8,15.4
7208,1980,9,26,24.5,15.5
7209,1980,9,27,24.2,17.8
7210,1980,9,28,25.2,16.5
7211,1980,9,29,26.8,15.4
7212,1980,9,30,23.2,13.8
7213,1980,10,1,23.6,14.5
7214,1980,10,2,24.1,13.2
7215,1980,10,3,23.9,16.6
7216,1980,10,4,25.7,18.1
7217,1980,10,5,25.0,21.4
7218,1980,10,6,22.8,20.3
7219,1980,10,7,25.2,18.6
7220,1980,10,8,25.8,16.8
7221,1980,10,9,24.6,17.0
7222,1980,10,10,23.8,18.9
7223,1980,10,11,25.1,21.2
7224,1980,10,12,21.7,19.2
7225,1980,10,13,22.8,20.6
7226,1980,10,14,23.8,14.4
7227,1980,10,15,23.4,13.0
7228,1980,10,16,23.0,15.6
7229,1980,10,17,20.8,16.4
7230,1980,10,18,20.0,16.6
7231,1980,10,19,22.8,16.4
7232,1980,10,20,23.8,14.7
7233,1980,10,21,21.8,11.6
7234,1980,10,22,18.0,8.4
7235,1980,10,23,19.0,10.1
7236,1980,10,24,17.0,14.2
7237,1980,10,25,18.6,7.0
7238,1980,10,26,14.6,7.8
7239,1980,10,27,15.8,8.6
7240,1980,10,28,18.0,8.2
7241,1980,10,29,21.9,10.4
7242,1980,10,30,19.6,10.2
7243,1980,10,31,17.8,9.7
7244,1980,11,1,18.6,9.2
7245,1980,11,2,19.0,9.4
7246,1980,11,3,19.8,8.4
7247,1980,11,4,20.4,10.0
7248,1980,11,5,22.2,14.5
7249,1980,11,6,21.8,11.6
7250,1980,11,7,23.3,11.3
7251,1980,11,8,14.5,7.2
7252,1980,11,9,15.0,6.6
7253,1980,11,10,18.9,8.2
7254,1980,11,11,20.6,11.2
7255,1980,11,12,21.4,10.1
7256,1980,11,13,13.0,5.2
7257,1980,11,14,15.1,3.8
7258,1980,11,15,16.7,5.8
7259,1980,11,16,20.2,11.9
7260,1980,11,17,21.4,11.4
7261,1980,11,18,22.4,10.3
7262,1980,11,19,21.2,13.8
7263,1980,11,20,20.4,15.6
7264,1980,11,21,18.6,14.9
7265,1980,11,22,18.2,12.0
7266,1980,11,23,19.6,10.8
7267,1980,11,24,18.3,10.1
7268,1980,11,25,14.6,9.2
7269,1980,11,26,17.4,7.3
7270,1980,11,27,17.6,10.8
7271,1980,11,28,19.2,10.0
7272,1980,11,29,17.0,8.8
7273,1980,11,30,19.4,9.8
7274,1980,12,1,16.9,8.5
7275,1980,12,2,16.8,6.8
7276,1980,12,3,13.8,2.9
7277,1980,12,4,8.1,2.7
7278,1980,12,5,12.4,1.7
7279,1980,12,6,15.5,5.0
7280,1980,12,7,15.2,4.4
7281,1980,12,8,14.6,3.0
7282,1980,12,9,11.2,5.2
7283,1980,12,10,12.1,5.4
7284,1980,12,11,17.5,10.5
7285,1980,12,12,10.9,-0.6
7286,1980,12,13,6.1,0.6
7287,1980,12,14,8.4,2.4
7288,1980,12,15,9.9,3.0
7289,1980,12,16,11.5,4.4
7290,1980,12,17,12.6,5.0
7291,1980,12,18,12.2,4.2
7292,1980,12,19,9.8,4.5
7293,1980,12,20,10.0,2.4
7294,1980,12,21,10.8,1.2
7295,1980,12,22,11.8,2.0
7296,1980,12,23,5.9,0.4
7297,1980,12,24,10.2,1.0
7298,1980,12,25,9.1,3.3
7299,1980,12,26,7.2,-0.8
7300,1980,12,27,2.8,-1.0
7301,1980,12,28,3.9,-1.4
7302,1980,12,29,4.7,-1.8
7303,1980,12,30,5.8,-0.4
7304,1980,12,31,9.1,0.1
7305,1981,1,1,13.6,1.2
7306,1981,1,2,2.6,-1.2
7307,1981,1,3,4.2,-0.9
7308,1981,1,4,7.9,-0.5
7309,1981,1,5,8.3,-0.1
7310,1981,1,6,7.3,-0.5
7311,1981,1,7,11.1,2.7
7312,1981,1,8,12.2,3.2
7313,1981,1,9,11.9,1.3
7314,1981,1,10,5.8,-1.2
7315,1981,1,11,5.5,-0.8
7316,1981,1,12,8.4,3.4
7317,1981,1,13,8.8,1.0
7318,1981,1,14,10.7,-0.4
7319,1981,1,15,11.9,0.6
7320,1981,1,16,4.5,-0.8
7321,1981,1,17,9.2,-1.0
7322,1981,1,18,9.5,2.0
7323,1981,1,19,9.7,1.8
7324,1981,1,20,9.9,0.2
7325,1981,1,21,8.5,0.2
7326,1981,1,22,7.5,-1.0
7327,1981,1,23,11.1,1.0
7328,1981,1,24,15.0,5.0
7329,1981,1,25,9.1,2.4
7330,1981,1,26,7.5,-1.4
7331,1981,1,27,8.4,-1.4
7332,1981,1,28,8.5,0.8
7333,1981,1,29,9.7,0.0
7334,1981,1,30,8.1,1.6
7335,1981,1,31,7.0,4.4
7336,1981,2,1,10.4,3.2
7337,1981,2,2,11.0,1.7
7338,1981,2,3,7.6,0.5
7339,1981,2,4,7.3,-0.5
7340,1981,2,5,9.9,3.3
7341,1981,2,6,11.8,2.7
7342,1981,2,7,10.9,0.3
7343,1981,2,8,10.9,0.4
7344,1981,2,9,9.5,3.5
7345,1981,2,10,9.5,2.5
7346,1981,2,11,11.8,2.9
7347,1981,2,12,12.8,5.7
7348,1981,2,13,14.7,10.0
7349,1981,2,14,14.4,8.2
7350,1981,2,15,16.2,7.2
7351,1981,2,16,12.3,6.2
7352,1981,2,17,7.5,4.6
7353,1981,2,18,12.6,4.2
7354,1981,2,19,12.3,5.4
7355,1981,2,20,10.2,2.6
7356,1981,2,21,10.1,0.6
7357,1981,2,22,11.0,2.6
7358,1981,2,23,10.7,7.8
7359,1981,2,24,9.3,0.5
7360,1981,2,25,0.8,-3.6
7361,1981,2,26,-1.6,-5.0
7362,1981,2,27,4.1,-4.6
7363,1981,2,28,8.8,-2.1
7364,1981,3,1,6.7,3.5
7365,1981,3,2,11.3,3.8
7366,1981,3,3,10.3,5.6
7367,1981,3,4,13.3,5.0
7368,1981,3,5,13.9,3.6
7369,1981,3,6,11.3,2.2
7370,1981,3,7,12.3,2.2
7371,1981,3,8,15.4,4.8
7372,1981,3,9,10.3,3.2
7373,1981,3,10,11.9,0.6
7374,1981,3,11,13.6,4.0
7375,1981,3,12,13.9,7.1
7376,1981,3,13,17.0,11.3
7377,1981,3,14,15.0,8.0
7378,1981,3,15,15.1,5.0
7379,1981,3,16,14.4,3.5
7380,1981,3,17,19.6,5.2
7381,1981,3,18,17.2,8.1
7382,1981,3,19,17.0,9.5
7383,1981,3,20,19.4,8.5
7384,1981,3,21,19.8,11.4
7385,1981,3,22,20.0,10.7
7386,1981,3,23,17.4,9.4
7387,1981,3,24,15.2,11.7
7388,1981,3,25,17.2,10.3
7389,1981,3,26,10.9,5.6
7390,1981,3,27,12.1,2.8
7391,1981,3,28,13.4,8.6
7392,1981,3,29,15.2,11.0
7393,1981,3,30,16.2,10.7
7394,1981,3,31,14.7,9.6
7395,1981,4,1,13.0,10.6
7396,1981,4,2,14.9,7.0
7397,1981,4,3,12.8,5.2
7398,1981,4,4,12.0,8.4
7399,1981,4,5,17.6,10.2
7400,1981,4,6,17.4,7.2
7401,1981,4,7,20.5,10.6
7402,1981,4,8,17.8,13.5
7403,1981,4,9,15.5,10.2
7404,1981,4,10,17.2,9.8
7405,1981,4,11,18.6,10.6
7406,1981,4,12,15.9,12.2
7407,1981,4,13,19.4,9.3
7408,1981,4,14,17.2,7.2
7409,1981,4,15,14.6,11.6
7410,1981,4,16,21.4,11.7
7411,1981,4,17,16.9,8.6
7412,1981,4,18,16.6,10.8
7413,1981,4,19,19.4,8.7
7414,1981,4,20,18.6,8.8
7415,1981,4,21,18.7,9.5
7416,1981,4,22,21.0,13.2
7417,1981,4,23,19.8,12.9
7418,1981,4,24,19.2,13.9
7419,1981,4,25,21.2,10.6
7420,1981,4,26,22.2,10.3
7421,1981,4,27,17.0,11.6
7422,1981,4,28,19.0,14.8
7423,1981,4,29,17.6,13.0
7424,1981,4,30,20.2,11.8
7425,1981,5,1,21.5,12.0
7426,1981,5,2,24.8,14.3
7427,1981,5,3,18.0,11.2
7428,1981,5,4,17.7,10.7
7429,1981,5,5,20.4,13.5
7430,1981,5,6,18.8,15.1
7431,1981,5,7,19.5,12.6
7432,1981,5,8,22.4,12.4
7433,1981,5,9,22.2,18.1
7434,1981,5,10,21.7,17.5
7435,1981,5,11,20.3,11.0
7436,1981,5,12,21.4,9.8
7437,1981,5,13,20.8,10.0
7438,1981,5,14,22.9,11.4
7439,1981,5,15,18.2,14.2
7440,1981,5,16,22.6,13.1
7441,1981,5,17,18.2,11.0
7442,1981,5,18,17.8,10.0
7443,1981,5,19,19.2,9.8
7444,1981,5,20,20.2,10.3
7445,1981,5,21,23.3,12.8
7446,1981,5,22,20.9,13.3
7447,1981,5,23,22.3,14.6
7448,1981,5,24,22.0,15.0
7449,1981,5,25,29.3,18.8
7450,1981,5,26,27.4,18.7
7451,1981,5,27,21.1,15.2
7452,1981,5,28,23.2,16.6
7453,1981,5,29,26.2,16.2
7454,1981,5,30,22.0,16.6
7455,1981,5,31,24.1,14.2
7456,1981,6,1,21.8,14.1
7457,1981,6,2,20.8,12.7
7458,1981,6,3,22.0,14.3
7459,1981,6,4,22.4,13.7
7460,1981,6,5,23.6,15.6
7461,1981,6,6,24.6,14.8
7462,1981,6,7,24.9,16.3
7463,1981,6,8,27.1,17.8
7464,1981,6,9,25.8,19.9
7465,1981,6,10,22.8,18.3
7466,1981,6,11,20.0,17.1
7467,1981,6,12,20.4,18.2
7468,1981,6,13,22.4,17.2
7469,1981,6,14,22.8,17.9
7470,1981,6,15,24.8,17.9
7471,1981,6,16,26.6,16.7
7472,1981,6,17,26.8,21.1
7473,1981,6,18,25.7,20.4
7474,1981,6,19,24.8,21.8
7475,1981,6,20,26.9,23.2
7476,1981,6,21,27.2,24.0
7477,1981,6,22,25.6,22.7
7478,1981,6,23,26.8,20.6
7479,1981,6,24,25.2,19.4
7480,1981,6,25,23.8,20.1
7481,1981,6,26,24.2,20.8
7482,1981,6,27,23.2,21.0
7483,1981,6,28,23.3,20.6
7484,1981,6,29,25.0,20.2
7485,1981,6,30,25.3,21.8
7486,1981,7,1,25.2,23.0
7487,1981,7,2,25.0,23.4
7488,1981,7,3,26.4,23.2
7489,1981,7,4,28.7,24.0
7490,1981,7,5,27.7,25.0
7491,1981,7,6,26.0,24.4
7492,1981,7,7,26.2,23.0
7493,1981,7,8,29.3,22.8
7494,1981,7,9,26.3,23.4
7495,1981,7,10,26.6,22.6
7496,1981,7,11,26.2,22.8
7497,1981,7,12,27.8,25.0
7498,1981,7,13,29.8,24.8
7499,1981,7,14,30.4,25.1
7500,1981,7,15,31.4,25.1
7501,1981,7,16,30.8,26.1
7502,1981,7,17,31.4,25.6
7503,1981,7,18,30.9,24.4
7504,1981,7,19,31.0,24.5
7505,1981,7,20,31.5,24.7
7506,1981,7,21,31.4,24.7
7507,1981,7,22,32.6,25.1
7508,1981,7,23,32.8,25.3
7509,1981,7,24,31.1,25.5
7510,1981,7,25,32.2,26.2
7511,1981,7,26,32.6,26.7
7512,1981,7,27,31.1,25.5
7513,1981,7,28,31.3,25.8
7514,1981,7,29,31.8,26.5
7515,1981,7,30,31.8,25.4
7516,1981,7,31,32.0,24.8
7517,1981,8,1,31.4,25.2
7518,1981,8,2,31.2,25.1
7519,1981,8,3,31.6,25.9
7520,1981,8,4,30.0,23.6
7521,1981,8,5,27.1,22.2
7522,1981,8,6,28.2,21.6
7523,1981,8,7,30.8,23.1
7524,1981,8,8,28.8,23.0
7525,1981,8,9,31.6,26.7
7526,1981,8,10,30.1,23.0
7527,1981,8,11,32.8,23.2
7528,1981,8,12,31.0,24.3
7529,1981,8,13,29.7,22.3
7530,1981,8,14,30.1,23.8
7531,1981,8,15,30.0,23.5
7532,1981,8,16,30.2,25.5
7533,1981,8,17,32.0,25.2
7534,1981,8,18,29.4,25.5
7535,1981,8,19,30.1,24.8
7536,1981,8,20,31.4,24.8
7537,1981,8,21,30.1,22.2
7538,1981,8,22,31.3,23.3
7539,1981,8,23,32.3,21.9
7540,1981,8,24,30.1,21.9
7541,1981,8,25,30.4,24.0
7542,1981,8,26,29.9,23.9
7543,1981,8,27,30.2,23.0
7544,1981,8,28,26.6,23.5
7545,1981,8,29,27.6,23.8
7546,1981,8,30,31.3,26.2
7547,1981,8,31,29.3,26.8
7548,1981,9,1,28.2,22.7
7549,1981,9,2,27.4,23.2
7550,1981,9,3,27.4,23.4
7551,1981,9,4,28.8,20.8
7552,1981,9,5,28.2,19.6
7553,1981,9,6,28.8,19.2
7554,1981,9,7,27.0,20.1
7555,1981,9,8,28.2,19.5
7556,1981,9,9,29.0,19.6
7557,1981,9,10,26.0,19.6
7558,1981,9,11,25.5,18.6
7559,1981,9,12,26.8,17.7
7560,1981,9,13,26.8,15.6
7561,1981,9,14,25.3,15.1
7562,1981,9,15,25.0,15.1
7563,1981,9,16,25.8,15.8
7564,1981,9,17,27.2,16.7
7565,1981,9,18,22.1,17.0
7566,1981,9,19,27.8,17.4
7567,1981,9,20,26.8,18.8
7568,1981,9,21,26.0,20.8
7569,1981,9,22,27.5,21.7
7570,1981,9,23,26.6,22.2
7571,1981,9,24,26.8,23.5
7572,1981,9,25,26.6,21.2
7573,1981,9,26,27.6,19.1
7574,1981,9,27,29.2,16.8
7575,1981,9,28,28.0,18.2
7576,1981,9,29,24.2,18.7
7577,1981,9,30,25.8,18.1
7578,1981,10,1,26.5,17.4
7579,1981,10,2,26.1,16.1
7580,1981,10,3,24.6,15.6
7581,1981,10,4,24.6,18.1
7582,1981,10,5,24.2,19.8
7583,1981,10,6,21.1,17.6
7584,1981,10,7,20.6,15.7
7585,1981,10,8,23.2,18.6
7586,1981,10,9,19.6,13.2
7587,1981,10,10,23.2,12.0
7588,1981,10,11,22.5,12.8
7589,1981,10,12,22.9,12.9
7590,1981,10,13,22.6,15.8
7591,1981,10,14,23.8,12.4
7592,1981,10,15,23.1,12.7
7593,1981,10,16,22.7,14.5
7594,1981,10,17,22.6,12.8
7595,1981,10,18,26.4,17.7
7596,1981,10,19,20.6,18.6
7597,1981,10,20,22.0,17.0
7598,1981,10,21,23.4,17.2
7599,1981,10,22,24.5,10.2
7600,1981,10,23,12.2,8.2
7601,1981,10,24,17.2,8.8
7602,1981,10,25,17.2,10.5
7603,1981,10,26,19.8,9.4
7604,1981,10,27,21.5,10.2
7605,1981,10,28,20.8,14.0
7606,1981,10,29,19.6,10.9
7607,1981,10,30,20.8,10.2
7608,1981,10,31,23.6,14.1
7609,1981,11,1,20.2,12.2
7610,1981,11,2,19.0,13.1
7611,1981,11,3,18.5,11.9
7612,1981,11,4,15.1,10.9
7613,1981,11,5,13.0,7.8
7614,1981,11,6,16.4,11.4
7615,1981,11,7,12.5,5.7
7616,1981,11,8,10.2,3.7
7617,1981,11,9,13.2,2.5
7618,1981,11,10,13.7,3.9
7619,1981,11,11,15.4,7.5
7620,1981,11,12,17.0,6.3
7621,1981,11,13,19.0,7.3
7622,1981,11,14,17.7,7.2
7623,1981,11,15,18.2,9.7
7624,1981,11,16,17.4,10.7
7625,1981,11,17,16.0,5.8
7626,1981,11,18,16.2,5.1
7627,1981,11,19,17.0,6.8
7628,1981,11,20,19.3,11.3
7629,1981,11,21,17.0,8.4
7630,1981,11,22,15.1,7.9
7631,1981,11,23,16.0,12.6
7632,1981,11,24,19.3,10.2
7633,1981,11,25,13.3,10.6
7634,1981,11,26,17.2,10.5
7635,1981,11,27,16.0,8.0
7636,1981,11,28,13.8,5.6
7637,1981,11,29,14.7,4.2
7638,1981,11,30,14.6,5.5
7639,1981,12,1,9.4,0.3
7640,1981,12,2,8.9,-0.2
7641,1981,12,3,14.2,2.1
7642,1981,12,4,13.0,4.5
7643,1981,12,5,14.6,5.9
7644,1981,12,6,14.0,5.1
7645,1981,12,7,10.8,3.0
7646,1981,12,8,12.1,2.7
7647,1981,12,9,14.6,4.0
7648,1981,12,10,15.4,5.2
7649,1981,12,11,12.9,4.0
7650,1981,12,12,15.6,5.7
7651,1981,12,13,12.1,4.0
7652,1981,12,14,9.4,3.0
7653,1981,12,15,9.6,2.1
7654,1981,12,16,8.9,1.9
7655,1981,12,17,14.4,1.9
7656,1981,12,18,11.4,5.2
7657,1981,12,19,8.2,0.4
7658,1981,12,20,10.2,3.8
7659,1981,12,21,11.5,2.8
7660,1981,12,22,13.9,5.2
7661,1981,12,23,13.2,4.4
7662,1981,12,24,11.7,1.5
7663,1981,12,25,13.8,1.8
7664,1981,12,26,16.8,8.2
7665,1981,12,27,17.6,7.3
7666,1981,12,28,18.8,7.4
7667,1981,12,29,15.8,4.9
7668,1981,12,30,12.2,2.7
7669,1981,12,31,9.7,2.6
7670,1982,1,1,9.6,2.7
7671,1982,1,2,11.5,1.4
7672,1982,1,3,15.6,6.2
7673,1982,1,4,17.7,9.1
7674,1982,1,5,11.4,4.2
7675,1982,1,6,12.4,3.1
7676,1982,1,7,9.9,1.6
7677,1982,1,8,11.2,0.2
7678,1982,1,9,15.5,6.8
7679,1982,1,10,14.6,5.3
7680,1982,1,11,16.4,7.5
7681,1982,1,12,11.4,2.6
7682,1982,1,13,6.9,1.6
7683,1982,1,14,8.3,1.0
7684,1982,1,15,8.8,1.6
7685,1982,1,16,4.2,-1.8
7686,1982,1,17,5.4,-2.4
7687,1982,1,18,5.6,-2.4
7688,1982,1,19,3.8,-1.5
7689,1982,1,20,9.1,-0.8
7690,1982,1,21,11.2,0.0
7691,1982,1,22,12.6,4.3
7692,1982,1,23,12.8,3.5
7693,1982,1,24,10.2,6.8
7694,1982,1,25,11.2,3.8
7695,1982,1,26,13.5,3.0
7696,1982,1,27,8.2,0.0
7697,1982,1,28,1.7,-2.0
7698,1982,1,29,4.7,-3.0
7699,1982,1,30,8.1,-1.4
7700,1982,1,31,4.7,1.0
7701,1982,2,1,9.0,1.1
7702,1982,2,2,9.0,-0.7
7703,1982,2,3,8.4,4.3
7704,1982,2,4,11.1,2.8
7705,1982,2,5,8.1,1.5
7706,1982,2,6,7.9,0.4
7707,1982,2,7,6.8,-0.2
7708,1982,2,8,9.3,2.6
7709,1982,2,9,10.3,1.4
7710,1982,2,10,8.7,3.0
7711,1982,2,11,10.1,2.6
